aio
aio_write
alias
auth_delay
chunked_transfer_encoding
client_body_buffer_size
client_body_in_single_buffer
client_body_timeout
client_header_buffer_size
client_header_timeout
client_max_body_size
connection_pool_size
default_type
disable_symlinks
error_page
etag
http
internal
keepalive_disable
keepalive_requests
keepalive_time
keepalive_timeout
large_client_header_buffers
limit_except
limit_rate
limit_rate_after
lingering_close
lingering_time
lingering_timeout
listen
location
max_ranges
merge_slashes
msie_padding
msie_refresh
output_buffers
postpone_output
read_ahead
recursive_error_pages
request_pool_size
reset_timedout_connection
resolver
resolver_timeout
root
satisfy
send_lowat
send_timeout
server
server_name
server_tokens
subrequest_output_buffer_size
tcp_nodelay
tcp_nopush
types
types_hash_bucket_size
types_hash_max_size
underscores_in_headers
variables_hash_bucket_size
variables_hash_max_size
