wait_timeout,Minimum Value,1,428.582,8571.632,34.89,-30.44983934,-30.44984782,34.19230769,30.44983934,30.44984782,34.19230769
wait_timeout,Maximum Value (Other),31536000,598.39,11967.8575,26.7325,-2.893447145,-2.892901799,2.817307692,2.893447145,2.892901799,2.817307692
net_write_timeout,Default Value,60,594.33,11886.59,26.9175,-3.552302749,-3.552305631,3.528846154,3.552302749,3.552305631,3.528846154
net_write_timeout,Minimum Value,1,601.0033333,12020.05333,26.60333333,-2.469356182,-2.469385233,2.320512821,2.469356182,2.469385233,2.320512821
net_write_timeout,Maximum Value,31536000,604.3366667,12086.72333,26.45333333,-1.928423831,-1.928425396,1.743589744,1.928423831,1.928425396,1.743589744
optimizer_prune_level,Default Value,1,594.695,11893.9225,26.8875,-3.493070657,-3.492809786,3.413461538,3.493070657,3.492809786,3.413461538
optimizer_prune_level,Minimum Value,0,590.4125,11808.215,27.0875,-4.188033495,-4.188239742,4.182692308,4.188033495,4.188239742,4.182692308
optimizer_prune_level,Maximum Value,1,597.6775,11953.5575,26.755,-3.009071436,-3.008931882,2.903846154,3.009071436,3.008931882,2.903846154
optimizer_search_depth,Default Value,62,612.615,12252.2725,26.11,-0.585018338,-0.585160807,0.423076923,0.585018338,0.585160807,0.423076923
optimizer_search_depth,Minimum Value,0,593.925,11878.7275,26.9275,-3.61802603,-3.616101892,3.567307692,3.61802603,3.616101892,3.567307692
optimizer_search_depth,Maximum Value,62,604.6766667,12093.47,26.44,-1.873248732,-1.873682998,1.692307692,1.873248732,1.873682998,1.692307692
parser_max_mem_size,Default Value (64-bit platforms),1.84467E+19,612.978,12259.602,26.16,-0.526110805,-0.525689304,0.615384615,0.526110805,0.525689304,0.615384615
parser_max_mem_size,Minimum Value,10000000,594.315,11886.27,26.56333333,-3.554736945,-3.554902109,2.166666667,3.554736945,3.554902109,2.166666667
parser_max_mem_size,Maximum Value (64-bit platforms),1.84467E+19,600.6375,12012.675,26.6275,-2.528723508,-2.529252969,2.413461538,2.528723508,2.529252969,2.413461538
range_optimizer_max_mem_size,Default Value,8388608,599.075,11981.4925,26.6975,-2.782285547,-2.78226752,2.682692308,2.782285547,2.78226752,2.682692308
range_optimizer_max_mem_size,Minimum Value,0,598.7933333,11975.85,26.70666667,-2.827994331,-2.828050719,2.717948718,2.827994331,2.828050719,2.717948718
range_optimizer_max_mem_size,Maximum Value,1.84467E+19,428.168,8563.372,33.02,-30.51702314,-30.51686939,27,30.51702314,30.51686939,27
preload_buffer_size,Default Value,32768,603.885,12077.6875,26.4875,-2.001720165,-2.001742074,1.875,2.001720165,2.001742074,1.875
preload_buffer_size,Minimum Value,1024,599.5075,11990.1475,26.6775,-2.712099575,-2.71204092,2.605769231,2.712099575,2.71204092,2.605769231
preload_buffer_size,Maximum Value,1073741824,595.12,11902.6525,26.875,-3.424101782,-3.421974637,3.365384615,3.424101782,3.421974637,3.365384615
read_buffer_size,Default Value,131072,596.84,11936.81,26.81,-3.144980689,-3.144820961,3.115384615,3.144980689,3.144820961,3.115384615
read_buffer_size,Minimum Value,8192,601.3575,12027.1225,26.5975,-2.41188212,-2.412026072,2.298076923,2.41188212,2.412026072,2.298076923
read_buffer_size,Maximum Value,2147479552,598.63,11972.6325,26.09,-2.854500016,-2.854157488,0.346153846,2.854500016,2.854157488,0.346153846
read_rnd_buffer_size,Default Value,262144,602.8833333,12057.65,26.52,-2.164270336,-2.164326186,2,2.164270336,2.164326186,2
read_rnd_buffer_size,Minimum Value,1,630.18,12603.54667,25.43666667,2.265424686,2.265074918,-2.166666667,2.265424686,2.265074918,2.166666667
read_rnd_buffer_size,Maximum Value,2147483647,607.9825,12159.6475,26.2975,-1.336779072,-1.336719302,1.144230769,1.336779072,1.336719302,1.144230769
div_precision_increment,Default Value,4,592.7275,11854.515,26.9975,-3.812355977,-3.81256192,3.836538462,3.812355977,3.81256192,3.836538462
div_precision_increment,Minimum Value,0,607.594,12151.876,26.398,-1.399824738,-1.39977719,1.530769231,1.399824738,1.39977719,1.530769231
div_precision_increment,Maximum Value,30,593.34,11866.7575,26.9575,-3.712959657,-3.713226375,3.682692308,3.712959657,3.713226375,3.682692308
sort_buffer_size,Default Value,262144,597.07,11941.4325,26.7875,-3.107656356,-3.107314033,3.028846154,3.107656356,3.107314033,3.028846154
sort_buffer_size,Minimum Value,32768,579.6333333,11592.65333,27.58666667,-5.937273485,-5.937305349,6.102564103,5.937273485,5.937305349,6.102564103
sort_buffer_size,"Maximum Value (Other, 64-bit platforms)",1.84467E+19,592.33,11846.59333,26.97333333,-3.87686216,-3.876838259,3.743589744,3.87686216,3.876838259,3.743589744
