rdbchecksum,default,yes,0.36899999999999994,0.0961,-1.8067227715910086,-0.981562251706883
rdbchecksum,other,no,0.368,0.09529999999999998,-2.072829213944406,-1.8058572589767765
daemonize,default,no,0.375,0.09720000000000002,-0.21008411747052078,0.1518433832892061
daemonize,other,yes,0.369,0.09590000000000001,-1.8067227715909937,-1.187636003524342
io-threads-do-reads,default,no,0.37099999999999994,0.0961,-1.2745098868841842,-0.981562251706883
io-threads-do-reads,other,yes,0.371,0.09630000000000001,-1.2745098868841696,-0.7754884998894097
lua-replicate-commands,default,yes,0.37,0.09570000000000001,-1.5406163292375816,-1.3937097553418154
lua-replicate-commands,other,no,0.371,0.0962,-1.2745098868841696,-0.8785253757981606
always-show-logo,default,no,0.372,0.09630000000000001,-1.0084034445307575,-0.7754884998894097
always-show-logo,other,yes,0.376,0.09729999999999998,0.05602232488289138,0.2548802591978999
protected-mode,default,yes,0.37100000000000005,0.09559999999999999,-1.2745098868841547,-1.4967466312505664
protected-mode,other,no,0.36599999999999994,0.09430000000000001,-2.6050420986512455,-2.836226018064086
rdbcompression,default,yes,0.36499999999999994,0.0944,-2.8711485410046573,-2.733189142155364
rdbcompression,other,no,0.363,0.09330000000000001,-3.403361425711467,-3.866594777151424
rdb-del-sync-files,default,no,0.364,0.094,-3.1372549833580545,-3.1453366457902963
rdb-del-sync-files,other,yes,0.363,0.094,-3.403361425711467,-3.1453366457902963
activerehashing,default,yes,0.36299999999999993,0.0938,-3.403361425711482,-3.3514103976077694
activerehashing,other,no,0.369,0.09520000000000002,-1.8067227715909937,-1.9088941348854704
stop-writes-on-bgsave-error,default,yes,0.368,0.09590000000000001,-2.072829213944406,-1.187636003524342
stop-writes-on-bgsave-error,other,no,0.366,0.0947,-2.6050420986512304,-2.4240785144291537
set-proc-title,default,yes,0.365,0.0945,-2.8711485410046427,-2.6301522662466272
set-proc-title,other,no,0.367,0.09489999999999998,-2.338935656297818,-2.218004762611709
dynamic-hz,default,yes,0.37300000000000005,0.09600000000000002,-0.7422970021773304,-1.0845991276156053
dynamic-hz,other,no,0.373,0.09690000000000001,-0.7422970021773451,-0.15726724443700393
lazyfree-lazy-eviction,default,no,0.368,0.09519999999999999,-2.072829213944406,-1.9088941348854989
lazyfree-lazy-eviction,other,yes,0.36400000000000005,0.0945,-3.13725498335804,-2.6301522662466272
lazyfree-lazy-expire,default,no,0.367,0.0948,-2.338935656297818,-2.3210416385204313
lazyfree-lazy-expire,other,yes,0.367,0.09519999999999999,-2.338935656297818,-1.9088941348854989
lazyfree-lazy-server-del,default,no,0.37300000000000005,0.09590000000000001,-0.7422970021773304,-1.187636003524342
lazyfree-lazy-server-del,other,yes,0.36900000000000005,0.09530000000000001,-1.806722771590979,-1.805857258976748
lazyfree-lazy-user-del,default,no,0.368,0.0947,-2.072829213944406,-2.4240785144291537
lazyfree-lazy-user-del,other,yes,0.367,0.09520000000000002,-2.338935656297818,-1.9088941348854704
lazyfree-lazy-user-flush,default,no,0.366,0.0947,-2.6050420986512304,-2.4240785144291537
lazyfree-lazy-user-flush,other,yes,0.366,0.09449999999999999,-2.6050420986512304,-2.6301522662466414
repl-disable-tcp-nodelay,default,no,0.37,0.0954,-1.5406163292375816,-1.7028203830680255
repl-disable-tcp-nodelay,other,yes,0.37300000000000005,0.09629999999999998,-0.7422970021773304,-0.7754884998894384
repl-diskless-sync,default,no,0.376,0.09689999999999999,0.05602232488289138,-0.15726724443703252
repl-diskless-sync,other,yes,0.36499999999999994,0.09449999999999999,-2.8711485410046573,-2.6301522662466414
gopher-enabled,default,no,0.36099999999999993,0.09329999999999998,-3.9355743104183065,-3.866594777151453
gopher-enabled,other,yes,0.36500000000000005,0.0948,-2.8711485410046276,-2.3210416385204313
aof-rewrite-incremental-fsync,default,yes,0.366,0.09459999999999999,-2.6050420986512304,-2.5271153903379044
aof-rewrite-incremental-fsync,other,no,0.362,0.0937,-3.6694678680648787,-3.454447273516492
no-appendfsync-on-rewrite,default,no,0.36900000000000005,0.09500000000000001,-1.806722771590979,-2.1149678867029436
no-appendfsync-on-rewrite,other,yes,0.368,0.095,-2.072829213944406,-2.1149678867029578
cluster-require-full-coverage,default,yes,0.36099999999999993,0.0935,-3.9355743104183065,-3.6605210253339653
cluster-require-full-coverage,other,no,0.372,0.09629999999999998,-1.0084034445307575,-0.7754884998894384
rdb-save-incremental-fsync,default,yes,0.36999999999999994,0.09530000000000001,-1.5406163292375965,-1.805857258976748
rdb-save-incremental-fsync,other,no,0.372,0.0955,-1.0084034445307575,-1.599783507159289
aof-load-truncated,default,yes,0.368,0.09500000000000001,-2.072829213944406,-2.1149678867029436
aof-load-truncated,other,no,0.375,0.0965,-0.21008411747052078,-0.5694147480719506
aof-use-rdb-preamble,default,yes,0.376,0.09720000000000002,0.05602232488289138,0.1518433832892061
aof-use-rdb-preamble,other,no,0.376,0.0971,0.05602232488289138,0.04880650738045513
cluster-replica-no-failover,default,no,0.36899999999999994,0.09519999999999999,-1.8067227715910086,-1.9088941348854989
cluster-replica-no-failover,other,yes,0.368,0.09490000000000001,-2.072829213944406,-2.21800476261168
replica-lazy-flush,default,no,0.376,0.0965,0.05602232488289138,-0.5694147480719506
replica-lazy-flush,other,yes,0.37,0.0954,-1.5406163292375816,-1.7028203830680255
replica-serve-stale-data,default,yes,0.375,0.09630000000000001,-0.21008411747052078,-0.7754884998894097
replica-serve-stale-data,other,no,0.366,0.09490000000000001,-2.6050420986512304,-2.21800476261168
replica-read-only,default,yes,0.37,0.0951,-1.5406163292375816,-2.011931010794221
